entry_price,exit_price,pnl,exit_type,entry_time,exit_time
3839.59,9398.97,1444.02,SL,1551459600,1564230720
9822.79,10262.72,106.80,SL,1564576260,1565802180
10480.00,10190.92,-72.77,SL,1565975280,1566062220
10482.76,10273.91,-51.75,SL,1566778620,1566791640
10011.72,10120.11,23.79,DC,1567444740,1568014200
8403.18,8420.00,2.45,SL,1569355320,1569385800
8288.90,8312.34,4.47,SL,1569858720,1569921180
8370.03,8517.40,40.72,SL,1570630740,1570674300
7920.00,8459.51,167.31,SL,1572018360,1572024900
9440.01,9202.38,-69.61,DC,1572052140,1572306000
9337.85,8410.38,-259.86,SL,1572321780,1573828260
7277.07,7151.55,-42.54,SL,1574449800,1574469780
7031.20,7129.74,29.78,SL,1574684700,1574714160
7700.01,7527.08,-54.38,SL,1575465840,1575466320
6897.19,7246.71,112.46,SL,1576689120,1576710060
7363.82,7245.89,-40.43,SL,1578046380,1578061140
7820.51,8502.00,201.20,SL,1578355560,1583080380
4798.40,4660.00,-75.70,SL,1584057060,1584060240
4128.83,4418.25,170.05,SL,1584066420,1584066780
4999.86,5088.28,43.89,SL,1584069120,1584070980
5094.17,5210.01,58.14,SL,1584076020,1584088380
5496.12,5286.12,-107.14,SL,1584092340,1584097620
5288.55,5052.81,-119.67,SL,1584116340,1584122760
5244.08,5347.66,46.99,SL,1584128580,1584148440
5434.52,5207.40,-109.25,SL,1584267780,1584305340
4789.99,4542.37,-128.79,SL,1584360540,1584365400
5370.36,6068.14,298.54,SL,1584539640,1584667800
6199.36,6011.50,-81.81,SL,1584739980,1584782820
6313.60,6099.77,-88.28,SL,1584823260,1584828300
6177.00,6245.74,24.75,SL,1584965700,1584970200
6285.23,6408.00,45.74,SL,1585551780,1585612020
7093.00,7266.00,58.80,SL,1586155200,1586229300
6968.44,6970.38,-1.86,SL,1587021480,1587033360
7249.66,9058.92,639.03,DC,1587650040,1593055920
9489.99,10195.69,235.39,SL,1595457060,1599175740
10581.63,10673.93,26.59,SL,1600089060,1600683240
10869.24,10747.13,-42.46,SL,1601251320,1601335020
11365.00,53386.23,12670.36,DC,1602295560,1618904220
56167.51,54644.36,-451.95,SL,1619791200,1620089760
58562.64,55090.01,-941.97,SL,1620406860,1620676980
37571.87,39443.64,716.72,SL,1621476300,1621526820
41129.10,39573.85,-597.63,SL,1621551180,1621576920
35896.91,35677.50,-105.28,SL,1621632840,1621660860
33474.87,37650.01,1818.17,SL,1621789500,1621936980
39101.79,38894.81,-103.92,SL,1621995240,1622037360
39814.85,38917.82,-386.06,SL,1622116800,1622133480
37203.76,35945.56,-557.85,SL,1622265960,1622276880
33313.57,32865.90,-223.29,SL,1623184860,1623200280
37168.70,38844.51,671.92,SL,1623605220,1623639660
35743.29,35167.59,-272.21,SL,1624219800,1624242600
30919.41,31872.37,466.39,SL,1624374660,1624407300
32368.29,32417.24,8.23,SL,1624752600,1624790220
35123.68,35384.63,103.59,SL,1625377380,1625438940
34460.91,34066.88,-201.66,SL,1626039000,1626051780
31389.24,31805.34,196.28,SL,1626862020,1626886920
35743.29,44240.01,3837.60,DC,1627258380,1631520840
44332.54,45302.77,418.56,DC,1631521320,1632106980
43233.81,42557.51,-340.53,SL,1632210900,1632233340
42463.42,42947.30,209.13,SL,1632296160,1632475440
43653.15,42844.69,-396.83,SL,1632649740,1632697380
43658.35,42896.76,-367.66,SL,1632974280,1632990900
47331.85,55751.27,3460.74,DC,1633084920,1637614440
57241.40,56441.55,-344.70,SL,1638141300,1638251640
50220.34,49681.48,-266.00,SL,1639328580,1639356780
49176.99,48156.98,-487.25,SL,1639595340,1639596360
48747.55,48442.65,-159.07,SL,1640060760,1640100600
42540.82,43587.37,513.65,SL,1641918600,1642086960
35399.91,36191.93,476.13,SL,1643046420,1643071560
38046.57,37858.61,-135.18,SL,1643463120,1643503200
38879.02,41064.30,1248.64,SL,1643987700,1644080640
44958.44,42384.96,-1389.89,DC,1644299520,1644606120
44332.99,41403.24,-1507.88,SL,1644922560,1645121640
38974.17,38288.70,-389.84,SL,1645607460,1645638600
36890.74,37999.07,597.78,SL,1645731240,1645742340
39673.08,38899.99,-433.91,SL,1646060100,1646432520
39795.73,39504.77,-172.45,DC,1646796060,1646887380
40453.76,40005.90,-248.37,SL,1647396420,1649705220
41343.48,40290.80,-537.89,SL,1650376200,1650580140
31934.47,31706.67,-160.98,SL,1652161560,1652169420
31746.56,30565.01,-750.20,SL,1652276940,1652285400
29744.53,28787.71,-626.24,SL,1652315100,1652323440
28828.24,28259.86,-378.20,SL,1652352720,1652380980
30779.97,30571.75,-138.84,SL,1652645520,1652666940
30713.70,30154.96,-340.47,SL,1653010740,1653019260
30187.46,30473.59,147.50,SL,1653876240,1653913740
31404.93,31384.97,-28.72,SL,1654498380,1654528140
31286.44,31045.46,-152.47,SL,1654631340,1654641960
22388.98,22421.52,7.86,SL,1655179440,1655187360
21572.02,20679.43,-736.27,SL,1655295300,1655312220
18881.38,18798.18,-89.97,SL,1655591100,1655601600
19369.85,19185.87,-173.75,SL,1655633760,1655647140
21225.98,20799.84,-345.16,SL,1656023520,1656053220
20190.87,20348.59,109.18,SL,1656635280,1656636900
20141.79,20103.71,-46.67,SL,1656975120,1657008300
20328.12,19967.00,-302.01,SL,1657754100,1657780200
22254.21,22873.86,423.91,DC,1658946900,1659379440
23382.27,21281.52,-1473.07,SL,1659395580,1660921800
19907.13,21123.79,886.42,DC,1662695760,1663077660
19588.82,19290.48,-253.69,SL,1663617660,1663643820
19491.07,18930.39,-457.72,SL,1663888140,1663931340
19821.73,19712.77,-96.95,SL,1664548620,1664553360
19543.69,19274.64,-218.90,SL,1665711060,1665763740
20271.99,19748.10,-392.05,DC,1666722420,1667880660
20518.35,19118.99,-983.58,SL,1667925120,1667930700
18450.63,17928.46,-387.71,SL,1667936760,1667938200
16748.73,17197.00,330.92,SL,1668056760,1668132480
17050.33,16715.97,-271.55,SL,1668431580,1668433800
16609.45,16371.16,-198.05,SL,1669188840,1669213500
17313.91,21472.50,3039.20,SL,1673279400,1678380420
20977.51,20830.63,-125.96,SL,1678646040,1678649460
23409.22,27662.53,2821.30,DC,1678717320,1683536160
27697.09,27309.63,-276.26,SL,1685310240,1685508780
27282.44,26897.49,-274.32,SL,1686093960,1686107520
26734.69,26429.33,-222.12,SL,1686980460,1687048920
28075.81,29074.47,610.43,DC,1687285260,1690192200
29654.99,28853.24,-512.16,SL,1690404660,1692227100
27095.00,27270.73,97.39,SL,1693319160,1693320600
26690.86,26425.16,-195.60,SL,1694698200,1694779140
27994.54,40456.00,7842.74,SL,1696198620,1705919220
44131.10,62061.33,10329.07,DC,1707337080,1713242640
64105.23,62430.74,-970.80,SL,1713452940,1713463920
60624.56,63222.01,1457.21,SL,1714740360,1714871760
64486.00,66770.00,1248.64,DC,1715779920,1716488580
67620.00,66911.99,-430.47,DC,1716492840,1718099460
67571.56,63894.95,-2055.54,SL,1718135700,1718959740
57559.40,57100.29,-314.60,SL,1720283040,1720337640
58199.58,57126.01,-675.41,SL,1720429320,1720435860
66730.01,63622.63,-1619.97,DC,1721409840,1721916360
66434.40,65017.99,-724.10,DC,1721955480,1722455580
52862.12,51256.00,-995.41,SL,1722843000,1722853620
60172.01,59312.00,-469.87,SL,1723949880,1724022600
63241.02,60320.00,-1427.70,DC,1724437200,1724795220
56346.87,57054.04,332.96,SL,1725900360,1725923040
62432.00,61693.99,-373.92,DC,1726707060,1727803020
61894.00,59802.96,-1001.43,DC,1727804700,1728582720
62424.01,92914.40,13545.66,DC,1728662160,1735566540
